employee_id,job_type,invoice_amount,material_costs,request_date,start_date,completion_date,customer_id,customer_type,customer_postal_code,customer_satisfaction,employee_experience
j_185274,basic_lawncare,240,76,3/1/2022,4/1/2022,4/2/2022,c_3ac965,residential,A1H,2,3
j_8bd7f7,basic_lawncare,276,68,3/1/2022,4/26/2022,4/26/2022,c_3ac965,residential,A1H,7,3
j_422932,basic_lawncare,276,72,3/1/2022,4/26/2022,4/26/2022,c_3ac965,residential,A1H,8,3
j_894d5,basic_lawncare,276,73,3/1/2022,5/17/2022,5/17/2022,c_3ac965,residential,A1H,2,5
j_5521d6,basic_lawncare,276,71,3/1/2022,5/17/2022,5/17/2022,c_3ac965,residential,A1H,9,4
j_8b62c0,basic_lawncare,287.5,76,3/1/2022,5/17/2022,5/17/2022,c_3ac965,residential,A1H,5,4
j_794774,basic_lawncare,276,71,3/1/2022,5/17/2022,5/17/2022,c_3ac965,residential,A1H,9,2
j_317f0d,basic_lawncare,287.5,73,3/1/2022,6/8/2022,6/9/2022,c_3ac965,residential,A1H,10,4
j_5b0435,basic_lawncare,276,75,3/1/2022,6/30/2022,6/30/2022,c_3ac965,residential,A1H,10,4
j_8c37f0,basic_lawncare,287.5,79,3/1/2022,6/30/2022,6/30/2022,c_3ac965,residential,A1H,8,3
j_47b015,basic_lawncare,287.5,77,3/1/2022,6/30/2022,6/30/2022,c_3ac965,residential,A1H,5,3
j_112386,garden_landscaping,1020,408,8/13/2022,9/15/2022,9/17/2022,c_3ac965,residential,A1H,8,3
j_61f551,lawn_treatment,410,180,10/2/2022,10/15/2022,10/16/2022,c_3ac965,residential,A1H,4,6
j_602beb,spring_cleanup,500,127,3/1/2022,4/1/2022,4/2/2022,c_5fd6f5,commercial,A1E,8,5
j_969212,basic_lawncare,380,93,3/7/2022,4/1/2022,4/3/2022,c_5fd6f5,commercial,A1E,7,6
j_882ae3,retaining_wall,2290,1281,4/2/2022,4/14/2022,4/15/2022,c_5fd6f5,commercial,A1E,3,3
j_90036e,basic_lawncare,437,95,3/7/2022,4/25/2022,4/25/2022,c_5fd6f5,commercial,A1E,10,4
j_97ef36,water_feature,4270,2007,4/27/2022,5/4/2022,5/7/2022,c_5fd6f5,commercial,A1E,3,6
j_60b1ce,basic_lawncare,437,93,3/7/2022,5/16/2022,5/16/2022,c_5fd6f5,commercial,A1E,7,4
j_5b073b,basic_lawncare,437,102,3/7/2022,5/16/2022,5/17/2022,c_5fd6f5,commercial,A1E,9,5
j_37d3be,basic_lawncare,425.5,95,3/7/2022,5/16/2022,5/17/2022,c_5fd6f5,commercial,A1E,8,5
